timestamp,sensor_id,temperature,humidity,anomaly_flag,data_quality_score
2025-10-01 21:08:13,1,24.62,31.81,Normal,100
2025-10-01 21:08:18,2,33.25,48.0,Normal,100
2025-10-01 21:08:23,4,23.66,34.7,Normal,100
2025-10-01 21:08:28,5,21.55,46.25,Normal,100
2025-10-01 21:08:33,2,30.5,34.51,Normal,100
2025-10-01 21:08:38,3,21.63,40.63,Normal,100
2025-10-01 21:08:43,5,23.05,49.18,Normal,100
2025-10-01 21:08:48,3,31.96,53.22,Normal,100
2025-10-01 21:08:53,1,27.67,46.69,Normal,100
2025-10-01 21:08:58,4,25.42,38.29,Normal,100
2025-10-01 21:09:03,5,33.57,36.48,Normal,100
2025-10-01 21:09:08,3,25.24,54.46,Normal,100
2025-10-01 21:09:13,1,33.93,31.49,Normal,100
2025-10-01 21:09:18,4,25.64,59.06,Normal,100
2025-10-01 21:09:23,5,23.3,36.16,Normal,100
2025-10-01 21:09:28,5,25.83,32.85,Normal,100
2025-10-01 21:09:33,1,25.12,35.48,Normal,100
2025-10-01 21:09:38,2,22.58,49.01,Normal,100
2025-10-01 21:09:43,1,30.9,34.79,Normal,100
2025-10-01 21:09:48,4,21.88,55.19,Normal,100
2025-10-01 21:09:53,2,21.93,44.11,Normal,100
2025-10-01 21:09:58,3,27.76,59.03,Normal,100
2025-10-01 21:10:31,3,33.13,52.78,Normal,100
2025-10-01 21:10:36,3,33.04,58.59,Normal,100
2025-10-01 21:10:41,1,27.02,36.23,Normal,100
2025-10-01 21:10:46,4,24.96,31.0,Normal,100
2025-10-01 21:10:51,1,22.1,48.99,Normal,100
2025-10-01 21:10:56,1,27.41,32.98,Normal,100
2025-10-01 21:11:01,4,29.58,44.98,Normal,100
2025-10-01 21:11:06,5,22.86,35.05,Normal,100
2025-10-01 21:11:11,4,30.69,52.82,Normal,100
2025-10-01 21:11:16,4,27.47,37.29,Normal,100
2025-10-01 21:11:21,3,27.84,46.58,Normal,100
2025-10-01 21:11:26,2,23.09,35.75,Normal,100
2025-10-01 21:11:31,1,33.64,50.07,Normal,100
2025-10-01 21:11:36,1,29.01,42.72,Normal,100
2025-10-01 21:11:41,2,24.65,53.78,Normal,100
2025-10-01 21:11:46,4,24.51,45.19,Normal,100
2025-10-01 21:11:51,5,32.16,32.82,Normal,100
2025-10-01 21:11:56,2,34.45,53.34,Normal,100
2025-10-01 21:12:01,1,29.15,33.17,Normal,100
2025-10-01 21:12:06,3,26.91,30.33,Normal,100
2025-10-01 21:12:11,1,27.19,33.6,Normal,100
2025-10-01 21:12:16,1,30.14,57.97,Normal,100
2025-10-01 21:12:21,5,20.8,43.79,Normal,100
2025-10-01 21:12:26,5,29.47,31.69,Normal,100
2025-10-01 21:12:31,2,28.37,54.43,Normal,100
2025-10-01 21:12:36,1,25.85,47.71,Normal,100
2025-10-01 21:12:41,3,27.44,36.56,Normal,100
2025-10-01 21:12:46,4,22.04,34.37,Normal,100
2025-10-01 21:12:51,2,25.21,59.81,Normal,100
2025-10-01 21:12:56,5,20.6,55.28,Normal,100
2025-10-01 21:13:01,1,28.37,38.82,Normal,100
2025-10-01 21:13:06,3,28.58,30.05,Normal,100
2025-10-01 21:13:11,5,31.78,37.37,Normal,100
2025-10-01 21:13:16,3,31.27,49.42,Normal,100
2025-10-01 21:13:21,3,21.96,58.31,Normal,100
2025-10-01 21:13:26,2,24.33,56.95,Normal,100
2025-10-01 21:13:31,1,27.87,32.32,Normal,100
2025-10-01 21:13:36,3,20.99,58.12,Normal,100
2025-10-01 21:13:41,3,28.72,40.08,Normal,100
2025-10-01 21:13:46,2,25.75,40.43,Normal,100
2025-10-01 21:13:51,5,20.45,48.22,Normal,100
2025-10-01 21:13:56,5,25.76,34.93,Normal,100
2025-10-01 21:14:01,2,34.23,43.65,Normal,100
2025-10-01 21:14:06,2,20.24,31.28,Anomaly,100
2025-10-01 21:14:11,5,32.25,48.51,Normal,100
2025-10-01 21:14:16,3,27.93,35.36,Normal,100
2025-10-01 21:14:21,4,32.18,55.13,Normal,100
2025-10-01 21:14:26,4,24.81,30.72,Normal,100
2025-10-01 21:14:31,1,23.51,59.21,Normal,100
2025-10-01 21:14:36,3,32.52,40.22,Normal,100
2025-10-01 21:14:41,1,20.51,39.71,Normal,100
2025-10-01 21:14:46,4,20.64,49.31,Normal,100
2025-10-01 21:14:51,2,28.06,35.78,Normal,100
2025-10-01 21:14:56,4,20.14,51.91,Anomaly,100
2025-10-01 21:15:01,4,24.06,40.79,Normal,100
2025-10-01 21:15:06,1,33.83,44.63,Normal,100
2025-10-01 21:15:11,1,23.36,30.8,Normal,100
2025-10-01 21:15:16,1,29.96,31.7,Normal,100
2025-10-01 21:15:21,1,33.68,34.08,Normal,100
2025-10-01 21:15:26,3,27.77,55.51,Normal,100
2025-10-01 21:15:31,2,34.84,46.67,Normal,100
2025-10-01 21:15:36,5,25.11,49.75,Normal,100
2025-10-01 21:15:41,5,20.69,39.0,Normal,100
2025-10-01 21:15:46,3,26.74,40.59,Normal,100
2025-10-01 21:15:51,3,27.03,53.33,Normal,100
2025-10-01 21:15:56,3,33.26,46.12,Normal,100
2025-10-01 21:16:01,2,29.99,52.86,Normal,100
2025-10-01 21:16:06,2,31.85,36.33,Normal,100
2025-10-01 21:16:11,2,33.97,49.09,Normal,100
2025-10-01 21:16:16,2,28.81,58.41,Normal,100
2025-10-01 21:16:21,4,33.63,54.1,Normal,100
2025-10-01 21:16:26,3,26.94,55.24,Normal,100
2025-10-01 21:16:31,4,31.49,44.97,Normal,100
2025-10-01 21:16:36,2,31.57,51.0,Normal,100
2025-10-01 21:16:41,1,32.15,44.86,Normal,100
2025-10-01 21:16:46,5,33.43,38.06,Normal,100
2025-10-01 21:16:51,4,28.36,44.19,Normal,100
2025-10-01 21:16:56,4,28.42,40.55,Normal,100
2025-10-01 21:17:01,4,22.76,33.62,Normal,100
2025-10-01 21:17:06,5,24.31,37.3,Normal,100
2025-10-01 21:17:11,3,31.48,54.82,Normal,100
2025-10-01 21:17:16,3,25.99,34.01,Normal,100
2025-10-01 21:17:21,1,31.94,54.51,Normal,100
2025-10-01 21:17:26,3,20.7,38.27,Normal,100
